Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Apr-2017,8028.55,8057.4,8014.4,8053.15,836437630.00,19267.02
05-Apr-2017,8077.85,8100.7,8045.75,8095.1,1073057297.00,24808.88
06-Apr-2017,8081.5,8096.25,8056.35,8092.1,944826819.00,22343.23
07-Apr-2017,8064.05,8100.5,8035,8045.35,988922713.00,23637.86
10-Apr-2017,8070.45,8077.95,8038.3,8052.1,781737603.00,19158.08
11-Apr-2017,8056.55,8108.45,8050.1,8107.1,1155746789.00,23398.61
12-Apr-2017,8115.2,8122.55,8028.7,8078.85,1091554970.00,22467.68
13-Apr-2017,8080.7,8080.7,8040.35,8044.9,812041950.00,18991.32
17-Apr-2017,8044,8058,8017.2,8042.6,1083549770.00,20052.55
18-Apr-2017,8065.1,8117.2,7995.35,8003.15,1276921853.00,25005.18
19-Apr-2017,8008.4,8031.25,7983.2,8021,947705555.00,21898.44
20-Apr-2017,8036.25,8069.35,8032.55,8063.1,946943401.00,22590.72
21-Apr-2017,8099.95,8106.5,8030.45,8057.7,1084272650.00,21926.22
24-Apr-2017,8075.2,8142.45,8072.8,8137.35,1066423363.00,22612.23
25-Apr-2017,8183.6,8218.9,8167.7,8216.7,1055422567.00,25710.49
26-Apr-2017,8244.7,8260.35,8178.95,8230.85,1193505826.00,26594.63
27-Apr-2017,8241.95,8245.25,8210.65,8222.2,1141231967.00,28922.80
28-Apr-2017,8226.4,8227.8,8195.55,8214.3,1159222672.00,24420.46
02-May-2017,8244.7,8260.05,8186,8231.35,1032444959.00,23836.64
03-May-2017,8259.55,8260.8,8215.4,8227.7,967975037.00,22868.63
04-May-2017,8263.85,8269.1,8235.8,8265.8,1051472955.00,25001.18
05-May-2017,8277.7,8279,8174.25,8193.25,1205539512.00,26596.09
08-May-2017,8216.95,8241.25,8206.6,8226.1,879982923.00,19927.04
09-May-2017,8246.3,8256,8222.65,8242.7,999272324.00,20870.23
10-May-2017,8266.65,8325.6,8265.05,8320.2,926170339.00,21905.05
11-May-2017,8354.65,8358.5,8323.7,8331,897412139.00,23001.91
12-May-2017,8343.15,8343.9,8271.95,8299.2,832311250.00,22786.74
15-May-2017,8329.75,8353.7,8322.5,8351.3,975101210.00,20604.89
16-May-2017,8367.25,8401.4,8359.1,8398.95,1057491741.00,22443.34
17-May-2017,8402,8404.1,8371.75,8396,920329437.00,23393.44
18-May-2017,8334.3,8361.45,8269.25,8279.15,1067028688.00,25164.35
19-May-2017,8318.2,8352.45,8218.55,8258.2,1038523328.00,25355.86
22-May-2017,8304.9,8322.5,8228.8,8235.05,953727449.00,20479.13
23-May-2017,8242.8,8243.35,8119.9,8159.15,1134901534.00,25525.20
24-May-2017,8178.35,8192.25,8087,8106.6,1136033878.00,24887.46
25-May-2017,8130.7,8240.95,8119.15,8233.9,1370273847.00,32834.22
26-May-2017,8238.95,8335.8,8231.35,8331.85,1079848733.00,23997.39
29-May-2017,8315.7,8353.7,8266.1,8299.5,1054421193.00,24085.13
30-May-2017,8286,8334.35,8262.4,8328.95,1114056916.00,22443.85
31-May-2017,8344.25,8369.1,8330.2,8350.95,1568691274.00,36406.89
01-Jun-2017,8343.85,8374.65,8338.05,8367.15,922034425.00,21259.93
02-Jun-2017,8403.95,8416.85,8385.1,8406.55,1211152573.00,20180.45
05-Jun-2017,8418.65,8448.3,8404.5,8435.75,817893011.00,18861.43
06-Jun-2017,8457.45,8460.5,8383.75,8397.2,774634361.00,19975.33
07-Jun-2017,8420.1,8442,8400.2,8431.5,798783953.00,20911.80
08-Jun-2017,8451.75,8456.85,8415.55,8429.15,737186187.00,20096.21
09-Jun-2017,8427.15,8459.2,8398.5,8452.75,783395091.00,19799.76
12-Jun-2017,8439,8439.15,8392.25,8408.7,780962135.00,18118.10
13-Jun-2017,8415.75,8448.5,8396.7,8408,885821577.00,18012.98
14-Jun-2017,8421.05,8424.95,8381.1,8420.8,938115902.00,21891.42
15-Jun-2017,8420.85,8427.7,8383.55,8400.2,1009350539.00,21421.41
16-Jun-2017,8416.55,8440.95,8392.2,8411.45,1015023413.00,24832.04
19-Jun-2017,8446.95,8467.45,8428.7,8453.1,687266136.00,17707.20
20-Jun-2017,8467.3,8475.9,8444.75,8454,768611131.00,19020.43
21-Jun-2017,8451.55,8454.95,8424.05,8443.6,917605003.00,18730.52
22-Jun-2017,8455.9,8496,8412.1,8423.85,1223792403.00,23011.76
23-Jun-2017,8435.6,8438.35,8332.7,8355.1,1156427980.00,21396.33
27-Jun-2017,8372.35,8382.15,8249.5,8285.5,1178883289.00,21640.09
28-Jun-2017,8286.7,8303.1,8249.1,8279.7,1006721595.00,19517.82
29-Jun-2017,8308.4,8352.95,8292.75,8301.1,1507416327.00,26687.59
30-Jun-2017,8280.1,8343.8,8250.3,8331.6,1119483582.00,19537.66
03-Jul-2017,8380,8423.45,8348.4,8416.4,913304302.00,18724.74
04-Jul-2017,8442.9,8450.8,8394.8,8410.7,934759377.00,17860.93
05-Jul-2017,8419.4,8456.4,8412.4,8451.5,971202124.00,18699.07
06-Jul-2017,8470.25,8506.15,8463.55,8481.75,1033172312.00,19718.57
07-Jul-2017,8480.15,8494.35,8457.25,8479.45,1103557800.00,19287.17
